Name = Untitled
Mach = 0.3; Re = 1000000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-60.0	-0.579	1.03725	0.018	0.514	0.071	0.529	0.078	-0.558	0.194	0.281
-59.0	-0.574	0.97234	0.018	0.513	0.071	0.524	0.077	-0.590	0.197	0.281
-58.0	-0.568	0.90637	0.018	0.511	0.071	0.519	0.077	-0.627	0.201	0.282
-57.0	-0.562	0.87643	0.019	0.508	0.071	0.514	0.077	-0.642	0.205	0.283
-56.0	-0.556	0.83800	0.019	0.506	0.071	0.510	0.077	-0.664	0.226	0.284
-55.0	-0.550	0.93745	0.019	0.504	0.067	0.506	0.074	-0.587	0.230	0.284
-54.0	-0.544	0.87230	0.019	0.504	0.067	0.504	0.074	-0.623	0.218	0.285
-53.0	-0.537	0.80831	0.019	0.504	0.067	0.504	0.073	-0.665	0.020	0.286
-52.0	-0.530	0.82745	0.022	1.000	0.064	1.000	0.071	-0.641	0.029	0.292
-51.0	-0.524	0.85073	0.022	1.000	0.064	1.000	0.070	-0.616	0.230	0.293
-50.0	-0.517	0.77683	0.022	1.000	0.064	1.000	0.070	-0.665	0.243	0.293
-49.0	-0.509	0.77768	0.022	1.000	0.060	1.000	0.067	-0.655	0.249	0.294
-48.0	-0.502	0.74088	0.022	1.000	0.060	1.000	0.067	-0.678	0.244	0.295
-47.0	-0.495	0.71657	0.023	1.000	0.060	1.000	0.066	-0.690	0.258	0.296
-46.0	-0.487	0.71875	0.022	1.000	0.056	1.000	0.063	-0.677	0.262	0.296
-45.0	-0.479	0.70399	0.022	1.000	0.056	1.000	0.063	-0.680	0.254	0.297
-44.0	-0.471	0.64401	0.022	1.000	0.056	1.000	0.062	-0.731	0.270	0.297
-43.0	-0.463	0.69169	0.022	1.000	0.053	1.000	0.059	-0.669	0.273	0.298
-42.0	-0.454	0.62378	0.022	1.000	0.053	1.000	0.059	-0.728	0.274	0.298
-41.0	-0.446	0.62422	0.022	1.000	0.049	1.000	0.056	-0.714	0.278	0.298
-40.0	-0.437	0.59205	0.021	1.000	0.049	1.000	0.055	-0.738	0.279	0.299
-39.0	-0.428	0.58200	0.021	1.000	0.046	1.000	0.052	-0.736	0.281	0.299
-38.0	-0.419	0.53277	0.021	1.000	0.046	1.000	0.052	-0.787	0.284	0.300
-37.0	-0.410	0.53811	0.020	1.000	0.043	1.000	0.049	-0.762	0.295	0.300
-36.0	-0.401	0.53615	0.020	1.000	0.040	1.000	0.047	-0.748	0.288	0.300
-35.0	-0.392	0.49523	0.020	1.000	0.040	1.000	0.046	-0.791	0.292	0.300
-34.0	-0.382	0.48959	0.019	1.000	0.037	1.000	0.044	-0.780	0.301	0.300
-33.0	-0.372	0.48426	0.019	1.000	0.034	1.000	0.041	-0.769	0.296	0.300
-32.0	-0.362	0.44033	0.018	1.000	0.034	1.000	0.040	-0.823	0.299	0.301
-31.0	-0.352	0.42784	0.018	1.000	0.031	1.000	0.038	-0.824	0.303	0.301
-30.0	-0.342	0.41110	0.017	1.000	0.029	1.000	0.036	-0.833	0.298	0.301
-29.0	-0.332	0.37284	0.017	1.000	0.029	1.000	0.035	-0.891	0.301	0.301
-28.0	-0.322	0.36647	0.016	1.000	0.026	1.000	0.033	-0.878	0.310	0.300
-27.0	-0.311	0.35731	0.016	1.000	0.024	1.000	0.030	-0.871	0.307	0.300
-26.0	-0.301	0.32733	0.015	1.000	0.022	1.000	0.029	-0.919	0.307	0.300
-25.0	-0.290	0.31290	0.014	1.000	0.020	1.000	0.026	-0.927	0.312	0.300
-24.0	-0.279	0.30032	0.014	1.000	0.018	1.000	0.024	-0.930	0.307	0.299
-23.0	-0.269	0.28184	0.013	1.000	0.015	1.000	0.023	-0.953	0.307	0.299
-22.0	-0.258	0.26280	0.012	1.000	0.014	1.000	0.021	-0.980	0.309	0.298
-21.0	-0.247	0.24163	0.012	1.000	0.012	1.000	0.020	-1.020	0.308	0.298
-20.0	-0.235	0.22434	0.011	1.000	0.010	1.000	0.018	-1.049	0.311	0.297
-19.0	-0.224	0.20483	0.010	1.000	0.009	1.000	0.016	-1.094	0.304	0.297
-18.0	-0.213	0.19462	0.010	1.000	0.006	1.000	0.016	-1.094	0.302	0.297
